Wavelength,B1Blue,B2Green,B3Red,B4NIR
430,0.009967546,1.4526e-05,0.009745139,0.002435014
431,0.0178294524,1.4504e-05,0.0072602742,0.002158584
432,0.0256913588,1.4482e-05,0.0047754094,0.001882154
433,0.0414210564,1.6803e-05,0.003534332,0.0018144484
434,0.0650185452,2.1467e-05,0.003537042,0.0019554672
435,0.088616034,2.6131e-05,0.003539752,0.002096486
436,0.105169976,2.3331e-05,0.0067036396,0.0020842072
437,0.121723918,2.0531e-05,0.0098675272,0.0020719284
438,0.131095812,1.79776e-05,0.0144968728,0.0019077914
439,0.133285658,1.56708e-05,0.0205916764,0.0015917962
440,0.135475504,1.3364e-05,0.02668648,0.001275801
441,0.1805576432,1.5238e-05,0.0309616644,0.001062187
442,0.2256397824,1.7112e-05,0.0352368488,0.000848573
443,0.2863308362,1.89578e-05,0.0480003004,0.0007183274
444,0.3626308046,2.07754e-05,0.0692520192,0.0006714502
445,0.438930773,2.2593e-05,0.090503738,0.000624573
446,0.4707489918,2.07918e-05,0.0906297824,0.0006304822
447,0.5025672106,1.89906e-05,0.0907558268,0.0006363914
448,0.50994986,1.6981e-05,0.0806466736,0.000667088
449,0.49289694,1.4763e-05,0.0603023228,0.000722572
450,0.47584402,1.2545e-05,0.039957972,0.000778056
451,0.492607654,1.56806e-05,0.0323303012,0.0009439904
452,0.509371288,1.88162e-05,0.0247026304,0.0011099248
453,0.5461259526,2.18932e-05,0.018325994,0.0013739332
454,0.6028716478,2.49116e-05,0.013200392,0.0017360156
455,0.659617343,2.793e-05,0.00807479,0.002098098
456,0.707191947,2.85852e-05,0.005925674,0.0022259352
457,0.754766551,2.92404e-05,0.003776558,0.0023537724
458,0.7820194256,3.21416e-05,0.0023865668,0.0022037786
459,0.7889505708,3.72888e-05,0.0017557004,0.0017759538
460,0.795881716,4.2436e-05,0.001124834,0.001348129
461,0.7865449728,4.02444e-05,0.0009334696,0.001063973
462,0.7772082296,3.80528e-05,0.0007421052,0.000779817
463,0.7739549752,3.48424e-05,0.0006177798,0.0005816236
464,0.7767852096,3.06132e-05,0.0005604934,0.0004693928
465,0.779615444,2.6384e-05,0.000503207,0.000357162
466,0.7915307104,2.58136e-05,0.0005441286,0.0003307928
467,0.8034459768,2.52432e-05,0.0005850502,0.0003044236
468,0.8139994582,2.8961e-05,0.0006841286,0.0002833412
469,0.8231911546,3.6967e-05,0.0008413638,0.0002675456
470,0.832382851,4.4973e-05,0.000998599,0.00025175
471,0.8369120342,6.34498e-05,0.001377525,0.0002534592
472,0.8414412174,8.19266e-05,0.001756451,0.0002551684
473,0.8431656202,9.60606e-05,0.0018480124,0.000272248
474,0.8420852426,0.0001058518,0.0016522092,0.000304698
475,0.841004865,0.000115643,0.001456406,0.000337148
476,0.837893829,0.0001026534,0.0011175968,0.0004057888
477,0.834782793,8.96638e-05,0.0007787876,0.0004744296
478,0.8315911532,8.22724e-05,0.0005521558,0.0005820328
479,0.8283189096,8.04792e-05,0.0004377014,0.0007285984
480,0.825046666,7.8686e-05,0.000323247,0.000875164
481,0.8248535392,0.0001249772,0.0002941394,0.0009230072
482,0.8246604124,0.0001712684,0.0002650318,0.0009708504
483,0.8270292438,0.0002242984,0.0002511664,0.0009285868
484,0.8319600334,0.0002840672,0.0002525432,0.0007962164
485,0.836890823,0.000343836,0.00025392,0.000663846
486,0.8505632186,0.0003714656,0.0002868424,0.000552828
487,0.8642356142,0.0003990952,0.0003197648,0.00044181
488,0.8801875506,0.0004301188,0.000376593,0.0003615636
489,0.8984190278,0.0004645364,0.000457327,0.0003120888
490,0.916650505,0.000498954,0.000538061,0.000262614
491,0.9289306114,0.000616738,0.000633953,0.0002525484
492,0.9412107178,0.000734522,0.000729845,0.0002424828
493,0.949910507,0.001564302,0.0007202004,0.0002376112
494,0.955029979,0.003106078,0.0006050192,0.0002379336
495,0.960149451,0.004647854,0.000489838,0.000238256
496,0.9628382746,0.0062305804,0.0003757736,0.0002554708
497,0.9655270982,0.0078133068,0.0002617092,0.0002726856
498,0.9684534918,0.0097750982,0.0001812454,0.0002978556
499,0.9716174554,0.0121159546,0.0001343822,0.0003309808
500,0.974781419,0.014456811,8.7519e-05,0.000364106
501,0.9740630526,0.0185122470000001,7.63013999999997e-05,0.000443209600000002
502,0.9733446862,0.0225676830000002,6.50837999999995e-05,0.000522313200000004
503,0.9720657274,0.0293922066000004,5.19249999999993e-05,0.000598917400000003
504,0.9702261762,0.0389858178000002,3.68249999999997e-05,0.000673022200000002
505,0.968386625,0.048579429,2.1725e-05,0.000747127
506,0.9675809878,0.0735190498000006,2.46566000000001e-05,0.0007470894
507,0.9667753506,0.0984586706000011,2.75882000000001e-05,0.0007470518
508,0.9679773416,0.136332170600002,2.91812e-05,0.000713886199999997
509,0.9711869608,0.187139549800001,2.94356e-05,0.000647592599999998
510,0.97439658,0.237946929,2.969e-05,0.000581299
511,0.9807746072,0.3177843818,3.41352e-05,0.0005193022
512,0.9871526344,0.3976218346,3.85804e-05,0.0004573054
513,0.9922733184,0.481270053,4.17646e-05,0.0004056636
514,0.9961366592,0.568729037,4.36878e-05,0.0003643768
515,1,0.656188021,4.5611e-05,0.00032309
516,0.9975232924,0.721062623,4.52706e-05,0.0003165676
517,0.9950465848,0.785937225,4.49302e-05,0.0003100452
518,0.9913874816,0.8335761434,4.22444e-05,0.00030627
519,0.9865459828,0.8639793782,3.72132e-05,0.000305242
520,0.981704484,0.894382613,3.2182e-05,0.000304214
521,0.9815497404,0.903236189,2.82048e-05,0.0003115464
522,0.9813949968,0.912089765,2.42276e-05,0.0003188788
523,0.978481532,0.9178207734,2.07372e-05,0.0003348782
524,0.972809346,0.9204292142,1.77336e-05,0.0003595446
525,0.96713716,0.923037655,1.473e-05,0.000384211
526,0.9346223928,0.925283801,1.26404e-05,0.0004171626
527,0.9021076256,0.927529947,1.05508e-05,0.0004501142
528,0.852190048,0.9304032348,9.0458e-06,0.000492789
529,0.78486966,0.9339036644,8.1254e-06,0.000545187
530,0.717549272,0.937404094,7.205e-06,0.000597585
531,0.63027462,0.9427390448,8.8482e-06,0.0006439626
532,0.542999968,0.9480739956,1.04914e-05,0.0006903402
533,0.4605389366,0.9529192824,1.53206e-05,0.0007436974
534,0.3828915258,0.9572749052,2.33358e-05,0.0008040342
535,0.305244115,0.961630528,3.1351e-05,0.000864371
536,0.2527496302,0.9646457416,2.37378e-05,0.000882101
537,0.2002551454,0.9676609552,1.61246e-05,0.000899831
538,0.1582672138,0.9707831184,1.2288e-05,0.0009045836
539,0.1267858354,0.9740122312,1.2228e-05,0.0008963588
540,0.095304457,0.977241344,1.2168e-05,0.000888134
541,0.079157697,0.97895537,1.85088e-05,0.0008473372
542,0.063010937,0.980669396,2.48496e-05,0.0008065404
543,0.0509343612,0.9819081122,2.60244e-05,0.000761588
544,0.0429279696,0.9826715186,2.20332e-05,0.00071248
545,0.034921578,0.983434925,1.8042e-05,0.000663372
546,0.0314988728,0.9850899162,2.12744e-05,0.000634356
547,0.0280761676,0.9867449074,2.45068e-05,0.00060534
548,0.025738406,0.98921304,2.36602e-05,0.000577959
549,0.024485588,0.992494314,1.87346e-05,0.000552213
550,0.02323277,0.995775588,1.3809e-05,0.000526467
551,0.0229577464,0.9974653528,2.39854e-05,0.0005378286
552,0.0226827228,0.9991551176,3.41618e-05,0.0005491902
553,0.0222812376,0.9994634318,4.1755e-05,0.0005729432
554,0.0217532908,0.9983902954,4.6765e-05,0.0006090876
555,0.021225344,0.997317159,5.1775e-05,0.000645232
556,0.0197318852,0.9923574422,5.88818e-05,0.0007214392
557,0.0182384264,0.9873977254,6.59886e-05,0.0007976464
558,0.0163996022,0.9815191306,7.15862e-05,0.000939558
559,0.0142154126,0.9747216578,7.56746e-05,0.001147174
560,0.012031223,0.967924185,7.9763e-05,0.00135479
561,0.010163911,0.9622778874,7.9287e-05,0.0017779952
562,0.008296599,0.9566315898,7.8811e-05,0.0022012004
563,0.0068258974,0.9538844582,8.29598e-05,0.0024799626
564,0.0057518062,0.9540364926,9.17334e-05,0.0026142818
565,0.004677715,0.954188527,0.000100507,0.002748601
566,0.0041519458,0.959527521,0.0001071154,0.0022268078
567,0.0036261766,0.964866515,0.0001137238,0.0017050146
568,0.0032131422,0.9703902956,0.0001233082,0.0012840446
569,0.0029128426,0.9760988628,0.0001358686,0.0009638978
570,0.002612543,0.98180743,0.000148429,0.000643751
571,0.0023849606,0.9837907508,0.0001626062,0.0005312222
572,0.0021573782,0.9857740716,0.0001767834,0.0004186934
573,0.0019384966,0.9838950724,0.0001893178,0.0003386284
574,0.0017283158,0.9781537532,0.0002002094,0.0002910272
575,0.001518135,0.972412434,0.000211101,0.000243426
576,0.0013361958,0.957261562,0.0002456474,0.0002153128
577,0.0011542566,0.94211069,0.0002801938,0.0001871996
578,0.0009929352,0.924218145,0.0003212774,0.0001700716
579,0.0008522316,0.903583927,0.0003688982,0.0001639288
580,0.000711528,0.882949709,0.000416519,0.000157786
581,0.0006369732,0.867392873,0.000504929,0.0001608576
582,0.0005624184,0.851836037,0.000593339,0.0001639292
583,0.0005032846,0.8403558248,0.0007104114,0.000170512
584,0.0004595718,0.8329522364,0.0008561462,0.000180606
585,0.000415859,0.825548648,0.001001881,0.0001907
586,0.0004150566,0.819451908,0.0019175466,0.0002091964
587,0.0004142542,0.813355168,0.0028332122,0.0002276928
588,0.000438494,0.798579732,0.0046363584,0.000254586
589,0.000487776,0.7751256,0.0073269852,0.000289876
590,0.000537058,0.751671468,0.010017612,0.000325166
591,0.0007073424,0.7000946168,0.0132889236,0.0004665412
592,0.0008776268,0.6485177656,0.0165602352,0.0006079164
593,0.0010433662,0.585549052,0.0211713446,0.0008313178
594,0.0012045606,0.511188476,0.0271222518,0.0011367454
595,0.001365755,0.4368279,0.033073159,0.001442173
596,0.0013961218,0.364984382,0.044852011,0.001402459
597,0.0014264886,0.293140864,0.056630863,0.001362745
598,0.00133882,0.2332884506,0.073705503,0.0011911366
599,0.001133116,0.1854271418,0.096075931,0.0008876338
600,0.000927412,0.137565833,0.118446359,0.000584131
601,0.000695418,0.1136561234,0.1598769174,0.0004481746
602,0.000463424,0.0897464138,0.2013074758,0.0003122182
603,0.0003046764,0.071923841,0.2528049792,0.0002208542
604,0.0002191752,0.060188405,0.3143694276,0.0001740826
