Wavelength,Pan,Green,Blue,Red,NIR,RedEdge,BlueCoastal
350,3.66566E-06,1.35519E-06,9.08392E-06,4.04792E-07,1.61464E-07,9.90903E-08,6.21089E-08
351,7.00428E-06,2.26707E-06,1.21818E-05,6.46658E-07,1.9425E-07,9.79199E-08,1.77935E-07
352,9.28637E-06,2.7792E-06,1.46218E-05,6.8823E-07,1.99342E-07,1.03831E-07,1.23444E-07
353,1.0873E-05,2.82055E-06,1.6885E-05,4.98934E-07,2.20655E-07,8.88377E-08,2.62382E-08
354,1.29396E-05,2.89409E-06,1.77077E-05,4.61855E-07,2.84664E-07,5.81155E-08,6.89367E-08
355,1.21655E-05,2.67992E-06,1.8585E-05,3.28638E-07,2.75635E-07,4.03053E-08,1.29139E-07
356,9.72954E-06,2.4764E-06,1.88979E-05,4.30099E-07,2.29818E-07,4.59073E-08,1.05205E-07
357,8.4536E-06,2.56996E-06,1.8907E-05,4.44193E-07,2.00695E-07,7.56313E-08,2.264E-07
358,9.51579E-06,2.64556E-06,1.94132E-05,2.57182E-07,3.089E-07,9.81849E-08,2.03598E-07
359,9.20906E-06,2.75062E-06,1.95956E-05,1.04366E-07,4.32743E-07,8.75361E-08,1.21228E-07
360,7.15952E-06,2.65183E-06,1.97252E-05,1.26111E-07,4.08123E-07,1.2727E-07,4.21809E-08
361,1.57478E-05,2.91578E-06,1.99142E-05,1.64133E-07,2.41664E-07,2.18864E-07,6.0872E-08
362,1.89464E-05,2.99091E-06,2.01389E-05,9.16954E-08,1.21118E-07,3.55273E-07,9.59444E-08
363,1.60281E-05,3.01857E-06,2.06012E-05,1.2809E-07,9.65203E-08,5.19738E-07,6.12849E-08
364,1.23076E-05,3.03318E-06,2.1164E-05,1.98217E-07,2.02091E-07,1.17662E-06,8.98931E-08
365,7.0713E-06,3.09775E-06,2.12307E-05,1.97548E-07,3.55617E-07,3.49915E-06,9.68325E-08
366,3.38798E-06,3.10486E-06,2.08963E-05,2.59887E-07,3.92077E-07,7.90716E-06,4.50585E-08
367,4.96977E-06,3.02846E-06,2.05609E-05,4.93794E-07,2.94544E-07,1.31696E-05,1.49363E-07
368,5.86265E-06,3.09415E-06,2.022E-05,4.19805E-07,2.55356E-07,1.8935E-05,2.6161E-07
369,5.94945E-06,2.98601E-06,2.00953E-05,2.06019E-07,3.74692E-07,3.14943E-05,3.61268E-07
370,9.23217E-06,2.92646E-06,1.97391E-05,1.40095E-07,4.90554E-07,6.06159E-05,8.51671E-07
371,9.9903E-06,2.94342E-06,1.97735E-05,1.43248E-07,4.25571E-07,0.000115249,1.64239E-06
372,8.55375E-06,3.07123E-06,1.95719E-05,1.38661E-07,2.94444E-07,0.000194895,4.01915E-06
373,7.07808E-06,3.13896E-06,1.96443E-05,1.15416E-07,2.21172E-07,0.000283076,1.1214E-05
374,9.01509E-06,3.07449E-06,2.01993E-05,9.46724E-08,2.0042E-07,0.000361822,2.73794E-05
375,8.27769E-06,3.05545E-06,2.04991E-05,3.51827E-08,1.88163E-07,0.000437452,5.58403E-05
376,9.99476E-06,3.03651E-06,2.04709E-05,1.8474E-08,1.8015E-07,0.000488116,0.000110151
377,1.03422E-05,2.86397E-06,2.0523E-05,5.83948E-08,2.06855E-07,0.000444643,0.000241262
378,7.73096E-06,2.92466E-06,2.06258E-05,6.57348E-08,2.21266E-07,0.000325879,0.00053329
379,7.44515E-06,3.02295E-06,2.06896E-05,3.4074E-08,2.55614E-07,0.000219436,0.000986983
380,8.72519E-06,3.12323E-06,2.11399E-05,3.27641E-08,2.69552E-07,0.000194085,0.001620159
381,8.20531E-06,3.11649E-06,2.11795E-05,1.34418E-07,2.39781E-07,0.000213917,0.00254757
382,6.72201E-06,3.20109E-06,2.12295E-05,1.86356E-07,2.12309E-07,0.000238985,0.003941254
383,6.93514E-06,3.25878E-06,2.13313E-05,1.17609E-07,2.46336E-07,0.00025991,0.005979472
384,7.27492E-06,3.28138E-06,2.15362E-05,2.1712E-07,2.9709E-07,0.000276658,0.008996343
385,7.49357E-06,3.49823E-06,2.18319E-05,2.70104E-07,3.56292E-07,0.000283252,0.013772096
386,7.52347E-06,3.74391E-06,2.2226E-05,1.92571E-07,3.41099E-07,0.000274156,0.021951646
387,5.76302E-06,4.07914E-06,2.30115E-05,2.85301E-07,3.4989E-07,0.000266101,0.034899314
388,5.52264E-06,4.28321E-06,2.39016E-05,2.79263E-07,4.31909E-07,0.000282793,0.051783575
389,5.05231E-06,4.3084E-06,2.47534E-05,1.72256E-07,5.61992E-07,0.000321818,0.069292502
390,4.65614E-06,4.56654E-06,2.57362E-05,1.65341E-07,7.5333E-07,0.000345909,0.083848788
391,3.89232E-06,4.75743E-06,2.69451E-05,1.94033E-07,9.83643E-07,0.000337848,0.09397302
392,4.17772E-06,5.10927E-06,2.81828E-05,1.45182E-07,1.06074E-06,0.000293876,0.100367613
393,7.08999E-06,5.36147E-06,2.9822E-05,7.23211E-08,9.83639E-07,0.000227101,0.104661103
394,5.73384E-06,5.43072E-06,3.18098E-05,1.0111E-07,9.87407E-07,0.000177774,0.108066542
395,3.75502E-06,5.69236E-06,3.37217E-05,1.9434E-07,9.98836E-07,0.000185948,0.112101673
