Wavelength,Panchromatic,NIR1,Red,Green,Blue,Red Edge,Yellow,Coastal,NIR2,SWIR1,SWIR2,SWIR3,SWIR4,SWIR5,SWIR6,SWIR7,SWIR8
350,3.954e-08,2.747e-08,4.428e-08,8.512e-09,2.547e-08,1.734e-09,3.724e-10,2.853e-08,4.468e-07,0,0,0,0,0,0,0,0
351,5.145e-08,2.034e-08,4.117e-08,9.219e-09,2.559e-08,2.593e-09,1.97e-09,2.721e-08,3.891e-07,0,0,0,0,0,0,0,0
352,3.176e-08,1.819e-08,4.303e-08,5.395e-09,2.209e-08,2.549e-09,3.526e-09,2.527e-08,3.362e-07,0,0,0,0,0,0,0,0
353,3.039e-08,1.483e-08,3.938e-08,3.767e-09,1.973e-08,1.463e-09,1.246e-09,1.951e-08,3.055e-07,0,0,0,0,0,0,0,0
354,3.322e-08,1.069e-08,2.078e-08,4.972e-09,1.585e-08,1.604e-09,7.437e-10,1.395e-08,2.544e-07,0,0,0,0,0,0,0,0
355,1.996e-08,1.257e-08,1.219e-08,3.965e-09,1.408e-08,1.972e-09,3.617e-10,1.713e-08,2.903e-07,0,0,0,0,0,0,0,0
356,2.352e-08,1.412e-08,8.022e-09,2.733e-09,1.321e-08,1.398e-09,2.732e-11,2.373e-08,2.976e-07,0,0,0,0,0,0,0,0
357,1.766e-08,9.771e-09,1.58e-08,3.097e-09,1.093e-08,1.513e-09,4.286e-10,1.471e-08,2.419e-07,0,0,0,0,0,0,0,0
358,2.277e-08,1.081e-08,1.872e-08,2.38e-09,9.297e-09,6.588e-10,2.457e-10,1.638e-08,1.714e-07,0,0,0,0,0,0,0,0
359,1.695e-08,9.194e-09,7.888e-09,1.695e-09,1.204e-08,1.387e-09,1.937e-12,1.445e-08,2e-07,0,0,0,0,0,0,0,0
360,1.447e-08,7.777e-09,2.204e-09,3.286e-09,9.789e-09,7.71e-10,1.664e-12,1.362e-08,2.029e-07,0,0,0,0,0,0,0,0
361,1.575e-08,7.967e-09,4.898e-10,3.437e-09,8.128e-09,1.277e-09,8.398e-10,9.459e-09,1.494e-07,0,0,0,0,0,0,0,0
