Wavelength,PAN,BLUE,GREEN,RED,NIR
350,5.763E-07,2.041E-07,4.875E-08,1.512E-08,3.665E-08
351,4.987E-07,1.820E-07,5.628E-08,3.296E-09,1.106E-08
352,3.620E-07,2.298E-07,8.398E-08,1.222E-08,9.000E-11
353,3.961E-07,2.442E-07,1.340E-07,3.152E-08,2.271E-08
354,3.780E-07,2.660E-07,1.115E-07,2.537E-08,2.483E-08
355,3.285E-07,2.239E-07,1.372E-07,4.284E-08,1.483E-08
356,3.645E-07,2.141E-07,1.522E-07,3.764E-08,8.605E-08
357,3.052E-07,1.671E-07,8.973E-08,3.008E-08,6.903E-08
358,3.436E-07,1.670E-07,1.529E-07,5.742E-08,1.369E-08
359,2.813E-07,2.169E-07,1.073E-07,2.382E-08,8.100E-11
360,3.017E-07,1.915E-07,4.747E-08,6.547E-09,7.900E-11
361,3.071E-07,1.820E-07,7.254E-08,4.676E-08,1.050E-08
362,2.567E-07,1.860E-07,5.336E-08,1.497E-08,3.480E-09
363,2.572E-07,1.608E-07,1.145E-07,8.012E-09,4.852E-08
364,2.708E-07,1.622E-07,9.259E-08,2.563E-09,4.623E-08
365,2.499E-07,1.711E-07,1.393E-07,8.906E-09,6.937E-08
366,2.406E-07,1.590E-07,1.176E-07,2.830E-08,3.696E-08
367,2.769E-07,1.737E-07,1.267E-07,3.441E-08,4.125E-08
368,2.528E-07,1.564E-07,1.711E-07,5.530E-08,3.808E-08
369,2.713E-07,1.642E-07,1.415E-07,2.811E-08,5.036E-08
370,3.270E-07,1.616E-07,1.068E-07,1.394E-08,1.877E-08
371,4.073E-07,1.113E-07,7.349E-08,2.914E-09,1.241E-08
372,5.164E-07,1.617E-07,8.547E-08,2.188E-09,5.617E-08
373,6.137E-07,1.674E-07,6.938E-08,2.384E-08,3.669E-08
374,5.822E-07,1.746E-07,8.830E-08,4.011E-08,1.334E-08
375,5.223E-07,1.886E-07,1.043E-07,3.152E-08,4.617E-08
376,4.653E-07,1.701E-07,1.697E-07,9.412E-09,7.985E-08
377,4.137E-07,1.571E-07,2.888E-07,9.462E-09,2.474E-08
378,4.205E-07,1.539E-07,4.122E-07,2.179E-08,1.752E-09
379,4.419E-07,1.727E-07,3.659E-07,3.810E-08,2.379E-08
380,5.028E-07,1.889E-07,4.177E-07,2.575E-08,4.583E-08
381,4.549E-07,2.813E-07,3.655E-07,2.112E-08,7.997E-08
382,4.082E-07,5.018E-07,2.950E-07,1.624E-08,6.461E-08
383,4.032E-07,7.179E-07,3.196E-07,2.895E-09,5.081E-08
384,3.919E-07,1.094E-06,2.688E-07,1.429E-08,4.483E-08
385,4.073E-07,1.640E-06,1.902E-07,1.173E-08,4.514E-08
386,4.362E-07,2.709E-06,2.132E-07,5.508E-08,3.442E-08
387,4.382E-07,3.805E-06,1.740E-07,3.934E-08,1.412E-08
388,4.367E-07,3.553E-06,1.191E-07,4.348E-08,1.236E-08
389,4.127E-07,2.381E-06,1.468E-07,5.262E-08,3.607E-08
390,4.081E-07,1.701E-06,1.291E-07,5.433E-08,5.109E-08
391,4.450E-07,1.586E-06,1.356E-07,1.901E-07,4.873E-08
392,4.480E-07,1.325E-06,1.886E-07,4.255E-07,2.738E-08
393,4.719E-07,1.244E-06,1.655E-07,7.616E-05,3.261E-08
394,4.668E-07,1.393E-06,1.463E-07,4.573E-04,6.506E-08
395,4.213E-07,1.676E-06,1.058E-07,7.053E-04,1.435E-07
396,4.369E-07,2.547E-06,1.214E-07,4.187E-04,1.562E-07
397,4.346E-07,4.162E-06,1.435E-07,6.873E-05,2.942E-07
398,4.564E-07,5.046E-06,1.650E-07,2.863E-06,2.385E-07
399,5.391E-07,4.822E-06,1.621E-07,2.984E-06,5.791E-08
400,5.371E-07,3.714E-06,1.899E-07,9.154E-06,4.220E-09
401,6.008E-07,2.457E-06,1.612E-07,1.131E-05,7.746E-09
402,5.514E-07,1.957E-06,1.176E-07,5.694E-06,2.662E-09
403,5.719E-07,2.148E-06,1.277E-07,7.261E-07,1.925E-09
404,5.871E-07,2.273E-06,1.407E-07,8.689E-08,1.220E-07
405,6.339E-07,2.173E-06,1.196E-07,9.672E-08,3.919E-07
406,7.759E-07,2.270E-06,1.362E-07,1.265E-07,6.979E-07
407,8.652E-07,2.953E-06,1.568E-07,1.561E-07,4.272E-07
408,1.015E-06,3.738E-06,1.524E-07,8.241E-08,6.767E-08
409,9.758E-07,4.190E-06,1.614E-07,4.543E-08,2.682E-09
410,9.639E-07,4.605E-06,1.836E-07,3.659E-08,9.300E-11
411,9.636E-07,5.137E-06,1.377E-07,2.983E-08,2.724E-08
412,1.171E-06,5.965E-06,1.547E-07,2.603E-08,5.409E-08
413,1.523E-06,6.515E-06,1.123E-07,2.272E-08,8.163E-08
414,1.961E-06,6.963E-06,7.873E-08,4.431E-09,4.114E-08
415,2.289E-06,8.126E-06,1.186E-07,1.392E-08,8.894E-09
416,2.439E-06,1.101E-05,1.347E-07,3.149E-08,7.170E-10
417,2.521E-06,1.569E-05,1.032E-07,2.024E-08,2.287E-08
418,2.651E-06,2.000E-05,1.917E-07,2.444E-08,7.556E-09
419,3.198E-06,2.180E-05,1.758E-07,5.577E-08,6.600E-10
420,4.174E-06,2.245E-05,1.535E-07,6.194E-08,1.335E-07
421,5.807E-06,2.381E-05,1.402E-07,6.694E-08,4.757E-08
422,7.841E-06,2.739E-05,1.913E-07,4.701E-08,3.909E-08
423,9.230E-06,3.238E-05,1.934E-07,2.042E-08,2.807E-08
424,1.003E-05,3.836E-05,1.607E-07,1.454E-08,1.689E-08
425,1.056E-05,4.884E-05,1.393E-07,1.770E-08,1.203E-07
426,1.199E-05,6.749E-05,1.681E-07,2.867E-08,6.464E-08
427,1.530E-05,9.963E-05,1.585E-07,1.827E-08,1.178E-07
428,2.254E-05,1.546E-04,1.624E-07,8.908E-09,5.969E-08
429,3.454E-05,2.484E-04,1.736E-07,2.645E-08,4.891E-08
430,4.962E-05,4.051E-04,1.747E-07,2.052E-08,8.498E-08
431,6.355E-05,6.316E-04,1.926E-07,3.839E-08,6.492E-08
432,7.264E-05,9.175E-04,2.212E-07,8.995E-08,1.926E-06
433,7.993E-05,1.237E-03,2.110E-07,1.980E-07,5.688E-06
434,9.349E-05,1.567E-03,1.636E-07,2.758E-06,6.960E-06
435,1.245E-04,1.975E-03,1.686E-07,1.066E-05,3.462E-06
436,1.887E-04,2.556E-03,1.207E-07,2.567E-05,8.983E-07
437,3.089E-04,3.471E-03,1.512E-07,3.198E-05,5.841E-07
438,4.913E-04,5.124E-03,1.723E-07,1.875E-05,3.187E-07
439,7.087E-04,8.142E-03,2.105E-07,4.740E-06,2.103E-07
440,9.077E-04,2.220E-02,2.021E-07,6.286E-07,1.013E-07
441,1.104E-03,4.669E-02,2.731E-07,7.710E-07,3.905E-08
442,1.392E-03,9.620E-02,2.333E-07,1.673E-05,1.223E-07
443,1.957E-03,1.477E-01,2.731E-07,3.827E-05,2.112E-07
444,1.162E-02,2.541E-01,2.767E-07,3.285E-05,3.739E-07
445,2.719E-02,3.634E-01,2.327E-07,1.049E-05,9.809E-07
446,4.850E-02,4.846E-01,1.800E-07,5.606E-07,1.336E-06
447,6.029E-02,6.063E-01,2.104E-07,4.416E-07,1.834E-06
448,7.267E-02,7.152E-01,2.026E-07,4.894E-06,2.209E-06
449,9.375E-02,8.236E-01,2.299E-07,1.479E-05,1.626E-06
450,1.731E-01,8.476E-01,2.037E-07,1.773E-05,8.271E-07
451,2.525E-01,8.686E-01,3.173E-07,7.718E-06,3.815E-07
452,3.319E-01,8.467E-01,4.248E-07,4.897E-07,1.742E-07
453,4.112E-01,8.234E-01,4.155E-07,7.506E-08,1.785E-07
454,4.851E-01,8.325E-01,3.887E-07,1.114E-07,1.527E-07
455,5.326E-01,8.425E-01,3.360E-07,3.095E-07,2.007E-07
456,5.800E-01,8.548E-01,2.614E-07,3.560E-07,3.836E-07
457,6.274E-01,8.671E-01,2.455E-07,2.740E-07,3.164E-07
458,6.749E-01,8.824E-01,2.215E-07,4.148E-07,7.192E-07
459,7.152E-01,8.976E-01,2.303E-07,3.515E-06,2.223E-06
460,7.244E-01,9.006E-01,2.970E-07,6.390E-06,5.117E-06
461,7.336E-01,9.034E-01,3.012E-07,4.423E-06,6.967E-06
462,7.428E-01,9.059E-01,4.279E-07,1.319E-06,5.710E-06
463,7.520E-01,9.085E-01,5.486E-07,3.048E-07,2.776E-06
464,7.576E-01,9.069E-01,6.123E-07,3.256E-07,1.323E-06
465,7.484E-01,9.052E-01,6.596E-07,6.955E-07,7.154E-07
466,7.392E-01,9.024E-01,6.253E-07,4.499E-06,5.510E-07
467,7.300E-01,8.997E-01,5.330E-07,1.842E-05,4.366E-07
468,7.208E-01,9.094E-01,5.044E-07,2.557E-05,6.495E-07
469,7.167E-01,9.190E-01,4.728E-07,1.203E-05,1.260E-06
470,7.309E-01,9.214E-01,4.719E-07,8.280E-07,4.618E-06
471,7.452E-01,9.238E-01,4.870E-07,2.332E-07,1.377E-05
472,7.595E-01,9.264E-01,5.671E-07,4.469E-07,2.261E-05
473,7.737E-01,9.291E-01,6.254E-07,6.767E-06,1.448E-05
474,7.843E-01,9.327E-01,7.106E-07,5.723E-05,5.835E-06
475,7.826E-01,9.363E-01,1.014E-06,1.027E-04,2.927E-06
476,7.809E-01,9.389E-01,1.382E-06,6.050E-05,3.298E-06
477,7.792E-01,9.415E-01,1.903E-06,8.281E-06,7.885E-06
478,7.775E-01,9.456E-01,2.642E-06,8.214E-08,2.363E-05
479,7.772E-01,9.494E-01,3.387E-06,4.439E-08,3.289E-05
480,7.813E-01,9.449E-01,4.052E-06,1.578E-08,1.972E-05
481,7.854E-01,9.406E-01,4.500E-06,3.170E-08,4.252E-06
482,7.895E-01,9.382E-01,4.777E-06,6.194E-08,8.540E-07
483,7.935E-01,9.361E-01,5.161E-06,5.188E-08,4.738E-07
484,7.961E-01,9.400E-01,5.560E-06,8.098E-08,3.834E-07
485,7.945E-01,9.437E-01,6.303E-06,4.585E-08,1.122E-06
486,7.928E-01,9.457E-01,7.350E-06,1.510E-08,3.275E-06
487,7.912E-01,9.478E-01,9.154E-06,2.402E-08,4.051E-06
488,7.895E-01,9.511E-01,1.215E-05,4.196E-08,1.929E-06
489,7.885E-01,9.541E-01,1.701E-05,2.387E-08,5.439E-08
490,7.893E-01,9.543E-01,2.497E-05,3.457E-08,5.064E-09
491,7.900E-01,9.545E-01,3.846E-05,5.210E-08,1.060E-10
492,7.908E-01,9.547E-01,6.204E-05,3.689E-08,1.400E-09
493,7.916E-01,9.554E-01,1.011E-04,3.233E-08,2.081E-08
494,7.925E-01,9.629E-01,1.662E-04,3.185E-08,4.456E-08
495,7.939E-01,9.703E-01,2.668E-04,4.175E-08,3.442E-08
496,7.952E-01,9.767E-01,4.175E-04,6.276E-08,1.043E-07
497,7.966E-01,9.831E-01,6.382E-04,5.597E-08,2.828E-08
498,7.980E-01,9.879E-01,9.534E-04,4.524E-08,1.882E-08
499,7.995E-01,9.926E-01,1.441E-03,3.764E-08,3.073E-08
500,8.014E-01,9.969E-01,2.244E-03,4.171E-08,1.400E-07
501,8.033E-01,1.000E+00,3.670E-03,2.564E-08,3.487E-08
502,8.052E-01,9.922E-01,8.529E-03,2.424E-08,4.234E-08
503,8.071E-01,9.816E-01,2.287E-02,2.185E-08,5.019E-08
504,8.079E-01,9.440E-01,5.949E-02,2.760E-08,2.774E-08
505,8.061E-01,9.002E-01,1.072E-01,5.895E-08,1.234E-07
506,8.044E-01,7.987E-01,2.738E-01,4.311E-08,1.923E-07
507,8.027E-01,6.930E-01,4.417E-01,4.732E-08,9.588E-08
508,8.010E-01,5.512E-01,6.207E-01,3.575E-08,1.450E-07
509,7.992E-01,4.133E-01,7.830E-01,4.184E-08,1.158E-07
510,7.975E-01,3.072E-01,8.084E-01,4.535E-08,2.463E-08
511,7.957E-01,2.068E-01,8.315E-01,5.214E-08,6.188E-08
512,7.940E-01,1.509E-01,8.374E-01,1.830E-07,1.137E-08
513,7.923E-01,9.859E-02,8.426E-01,1.010E-06,3.007E-08
514,7.926E-01,7.258E-02,8.435E-01,1.581E-06,2.810E-08
515,7.970E-01,4.833E-02,8.441E-01,1.019E-06,6.742E-08
516,8.013E-01,3.288E-02,8.439E-01,2.984E-07,9.494E-08
517,8.056E-01,2.012E-02,8.440E-01,7.033E-08,6.226E-08
518,8.100E-01,1.464E-02,8.467E-01,3.697E-08,3.379E-08
519,8.135E-01,1.069E-02,8.492E-01,4.792E-08,6.146E-08
520,8.158E-01,7.960E-03,8.500E-01,2.443E-07,3.089E-08
521,8.180E-01,5.932E-03,8.508E-01,6.264E-07,3.316E-08
522,8.202E-01,4.522E-03,8.519E-01,7.716E-07,4.541E-08
523,8.225E-01,3.420E-03,8.540E-01,3.948E-07,1.800E-08
524,8.255E-01,2.695E-03,8.616E-01,1.245E-07,4.621E-08
525,8.300E-01,2.115E-03,8.701E-01,5.879E-08,6.455E-08
526,8.345E-01,1.657E-03,8.832E-01,7.452E-08,5.291E-08
527,8.389E-01,1.306E-03,8.958E-01,1.233E-07,1.277E-07
528,8.434E-01,1.030E-03,9.050E-01,2.314E-07,1.421E-07
529,8.469E-01,8.183E-04,9.126E-01,4.709E-07,1.028E-07
530,8.487E-01,6.575E-04,9.118E-01,8.374E-07,2.259E-08
531,8.505E-01,5.301E-04,9.101E-01,8.244E-07,5.754E-08
532,8.523E-01,4.251E-04,9.046E-01,5.364E-07,1.210E-07
533,8.541E-01,3.307E-04,8.999E-01,2.513E-07,2.770E-08
534,8.547E-01,2.723E-04,8.991E-01,1.484E-07,1.128E-07
535,8.535E-01,2.284E-04,8.994E-01,1.690E-07,1.260E-10
536,8.522E-01,1.873E-04,9.049E-01,2.405E-07,6.084E-09
537,8.510E-01,1.540E-04,9.102E-01,5.062E-07,5.419E-08
538,8.498E-01,1.258E-04,9.147E-01,8.476E-07,1.589E-07
539,8.488E-01,1.038E-04,9.177E-01,8.892E-07,2.586E-07
540,8.483E-01,8.633E-05,9.141E-01,5.270E-07,4.580E-07
541,8.477E-01,7.216E-05,9.096E-01,2.345E-07,4.386E-07
542,8.472E-01,6.198E-05,9.015E-01,1.524E-07,1.288E-07
543,8.466E-01,5.331E-05,8.942E-01,1.412E-07,7.469E-08
544,8.462E-01,4.668E-05,8.906E-01,1.906E-07,4.213E-08
545,8.460E-01,4.121E-05,8.885E-01,4.092E-07,2.015E-08
546,8.458E-01,3.735E-05,8.922E-01,7.653E-07,3.424E-08
547,8.457E-01,3.427E-05,8.965E-01,1.052E-06,2.781E-08
548,8.455E-01,3.172E-05,9.029E-01,1.025E-06,5.227E-08
549,8.465E-01,2.984E-05,9.090E-01,6.975E-07,1.344E-07
550,8.492E-01,2.822E-05,9.139E-01,4.687E-07,2.446E-07
551,8.518E-01,2.705E-05,9.186E-01,4.878E-07,3.937E-07
552,8.544E-01,2.613E-05,9.226E-01,6.740E-07,4.809E-07
553,8.570E-01,2.528E-05,9.270E-01,1.104E-06,5.272E-07
554,8.613E-01,2.458E-05,9.329E-01,2.053E-06,3.538E-07
555,8.675E-01,2.403E-05,9.391E-01,3.055E-06,2.759E-07
556,8.737E-01,2.307E-05,9.463E-01,3.058E-06,2.741E-07
557,8.799E-01,2.210E-05,9.531E-01,1.740E-06,2.875E-07
558,8.861E-01,2.109E-05,9.587E-01,9.353E-07,2.664E-07
559,8.911E-01,2.006E-05,9.639E-01,8.621E-07,2.251E-07
560,8.947E-01,1.906E-05,9.678E-01,1.046E-06,1.684E-07
561,8.983E-01,1.806E-05,9.718E-01,1.454E-06,9.696E-08
562,9.020E-01,1.703E-05,9.758E-01,2.096E-06,5.885E-08
563,9.056E-01,1.596E-05,9.803E-01,2.589E-06,3.355E-08
564,9.080E-01,1.463E-05,9.860E-01,2.725E-06,9.430E-08
565,9.091E-01,1.354E-05,9.915E-01,2.011E-06,1.279E-07
566,9.101E-01,1.221E-05,9.961E-01,1.266E-06,2.167E-07
567,9.112E-01,1.110E-05,9.997E-01,1.109E-06,2.221E-07
568,9.123E-01,9.968E-06,1.000E+00,1.428E-06,2.429E-07
569,9.127E-01,9.031E-06,9.997E-01,1.587E-06,4.491E-07
570,9.126E-01,8.251E-06,9.977E-01,1.092E-06,6.577E-07
571,9.124E-01,7.551E-06,9.963E-01,5.279E-07,6.147E-07
572,9.122E-01,6.825E-06,9.965E-01,2.588E-07,6.668E-07
573,9.120E-01,6.219E-06,9.949E-01,1.459E-07,5.553E-07
574,9.119E-01,5.620E-06,9.885E-01,8.739E-08,4.554E-07
575,9.118E-01,5.115E-06,9.696E-01,6.557E-08,4.351E-07
576,9.118E-01,4.702E-06,9.168E-01,3.062E-08,3.832E-07
577,9.117E-01,4.304E-06,8.435E-01,2.829E-08,3.603E-07
578,9.116E-01,4.105E-06,7.159E-01,1.682E-08,3.286E-07
579,9.118E-01,3.910E-06,5.849E-01,2.344E-08,4.602E-07
580,9.121E-01,3.729E-06,4.453E-01,3.409E-08,4.486E-07
581,9.124E-01,3.628E-06,3.188E-01,2.079E-08,3.847E-07
582,9.127E-01,3.468E-06,2.257E-01,3.387E-08,4.537E-07
583,9.130E-01,3.338E-06,1.462E-01,4.472E-08,4.094E-07
584,9.149E-01,3.229E-06,1.002E-01,2.231E-08,4.136E-07
585,9.181E-01,3.082E-06,6.212E-02,2.619E-08,5.789E-07
586,9.214E-01,2.985E-06,4.116E-02,2.997E-08,6.199E-07
587,9.246E-01,2.927E-06,2.628E-02,1.091E-08,7.042E-07
588,9.278E-01,2.962E-06,1.590E-02,1.392E-08,8.292E-07
589,9.307E-01,3.111E-06,1.083E-02,2.120E-08,8.428E-07
590,9.332E-01,3.245E-06,6.266E-03,3.990E-08,9.509E-07
591,9.358E-01,3.406E-06,4.583E-03,3.959E-08,1.246E-06
592,9.384E-01,3.660E-06,3.431E-03,2.668E-08,1.798E-06
593,9.409E-01,3.983E-06,2.597E-03,3.221E-08,1.706E-06
594,9.416E-01,4.283E-06,2.004E-03,4.450E-08,1.152E-06
