Wavelength,B1Blue,B2Green,B3Red,B4NIR
430,0.00160252,3.28e-06,0.00045369,0.00019627
431,0.00149678,3.28e-06,0.000613474,0.000422266
432,0.00139104,3.28e-06,0.000773258,0.000648262
433,0.001939294,3.608e-06,0.0007867,0.000685474
434,0.003141542,4.264e-06,0.0006538,0.000533902
435,0.00434379,4.92e-06,0.0005209,0.00038233
436,0.007035258,5.576e-06,0.000790364,0.000434518
437,0.009726726,6.232e-06,0.001059828,0.000486706
438,0.012383376,6.56e-06,0.001984008,0.000747644
439,0.015005208,6.56e-06,0.003562904,0.001217332
440,0.01762704,6.56e-06,0.0051418,0.00168702
441,0.019923084,5.084e-06,0.006286404,0.0020782
442,0.022219128,3.608e-06,0.007431008,0.00246938
443,0.030174376,3.608e-06,0.007741256,0.00237703
444,0.043788828,5.084e-06,0.007217148,0.00180115
445,0.05740328,6.56e-06,0.00669304,0.00122527
446,0.088263908,6.232e-06,0.008359588,0.001030818
447,0.119124536,5.904e-06,0.010026136,0.000836366
448,0.15239651,5.412e-06,0.0136257,0.00073948
449,0.18807983,4.756e-06,0.01915828,0.00074016
450,0.22376315,4.1e-06,0.02469086,0.00074084
451,0.25767499,3.608e-06,0.040958244,0.000746056
452,0.29158683,3.116e-06,0.057225628,0.000751272
453,0.339145514,5.248e-06,0.076795922,0.000758306
454,0.400351042,1.0004e-05,0.099669126,0.000767158
455,0.46155657,1.476e-05,0.12254233,0.00077601
456,0.537262154,1.804e-05,0.096329098,0.000861778
457,0.612967738,2.132e-05,0.070115866,0.000947546
458,0.671730242,2.05e-05,0.049882454,0.001102066
459,0.713549666,1.558e-05,0.035628862,0.001325338
460,0.75536909,1.066e-05,0.02137527,0.00154861
461,0.752309598,1.148e-05,0.017944046,0.001801154
462,0.749250106,1.23e-05,0.014512822,0.002053698
463,0.741540016,1.4596e-05,0.011493276,0.00214151
464,0.729179328,1.8368e-05,0.008885408,0.00206459
465,0.71681864,2.214e-05,0.00627754,0.00198767
466,0.717506456,2.0828e-05,0.004707964,0.001610558
467,0.718194272,1.9516e-05,0.003138388,0.001233446
468,0.726169786,3.3124e-05,0.002071076,0.000934388
469,0.741432998,6.1652e-05,0.001506028,0.000713384
470,0.75669621,9.018e-05,0.00094098,0.00049238
471,0.778061278,0.000100184,0.000771572,0.000408652
472,0.799426346,0.000110188,0.000602164,0.000324924
473,0.816520398,0.000114616,0.000488818,0.000269332
474,0.829343434,0.000113468,0.000431534,0.000241876
475,0.84216647,0.00011232,0.00037425,0.00021442
476,0.834674714,0.000143144,0.000377306,0.000206932
477,0.827182958,0.000173968,0.000380362,0.000199444
478,0.81379911,0.000216108,0.000408622,0.000199218
