Wavelength,Panchromatic,Blue,Green,Red,NIR1,Coastal,Yellow,Red Edge,NIR2
350,5.53407E-06,7.50E-07,4.16E-07,3.12E-07,3.42E-07,1.94E-06,3.12E-07,1.32E-07,2.75E-07
351,5.8023E-06,5.37E-07,3.55E-07,2.20E-07,1.72E-07,2.47E-06,1.96E-07,1.68E-07,1.04E-06
352,6.07353E-06,3.24E-07,2.93E-07,1.27E-07,7.23E-12,3.00E-06,7.91E-08,2.04E-07,1.82E-06
353,6.30596E-06,4.06E-07,2.27E-07,1.16E-07,1.15E-08,3.67E-06,8.66E-08,1.72E-07,1.21E-05
354,6.5498E-06,4.88E-07,1.62E-07,1.05E-07,2.31E-08,4.34E-06,9.42E-08,1.40E-07,2.24E-05
355,6.77586E-06,3.04E-07,1.32E-07,6.94E-08,2.43E-08,3.27E-06,9.83E-08,2.82E-07,1.99E-05
356,5.81668E-06,1.23E-07,1.03E-07,3.43E-08,2.56E-08,2.18E-06,1.02E-07,4.22E-07,1.74E-05
357,4.93228E-06,1.87E-07,1.36E-07,3.80E-08,4.98E-08,2.58E-06,9.13E-08,2.87E-07,6.36E-05
358,4.02254E-06,2.53E-07,1.72E-07,4.17E-08,7.48E-08,2.99E-06,7.97E-08,1.47E-07,0.000111139
359,3.13309E-06,2.74E-07,1.68E-07,6.08E-08,8.04E-08,2.38E-06,6.39E-08,1.60E-07,9.35E-05
360,2.18462E-06,2.95E-07,1.65E-07,8.08E-08,8.60E-08,1.75E-06,4.72E-08,1.71E-07,7.48E-05
361,2.23384E-06,2.04E-07,1.30E-07,5.42E-08,4.50E-08,2.48E-06,3.97E-08,1.46E-07,4.23E-05
362,2.27885E-06,1.02E-07,9.06E-08,2.51E-08,7.74E-12,3.27E-06,3.13E-08,1.17E-07,6.51E-06
363,2.43744E-06,1.72E-07,1.09E-07,5.58E-08,1.31E-08,3.42E-06,4.58E-08,9.43E-08,3.81E-06
