Wavelength,B1Blue,B2Green,B3Red,B4NIR
400,0.00006627,0.00001010,0.00001168,0.00000184
401,0.00006114,0.00001389,0.00001419,0.00000202
402,0.00005964,0.00001902,0.00001348,0.00000371
403,0.00006755,0.00001356,0.00000996,0.00000470
404,0.00007354,0.00001327,0.00001009,0.00000487
405,0.00007335,0.00002873,0.00001366,0.00000512
406,0.00007303,0.00003122,0.00003289,0.00000521
407,0.00006988,0.00002184,0.00001748,0.00000490
408,0.00006669,0.00002860,0.00002207,0.00000308
409,0.00006467,0.00002274,0.00002377,0.00000160
410,0.00008891,0.00006723,0.00002383,0.00000126
411,0.00010731,0.00008343,0.00002470,0.00000131
412,0.00006420,0.00001226,0.00001811,0.00000119
413,0.00008781,0.00006171,0.00001353,0.00000105
414,0.00008978,0.00005563,0.00001155,0.00000082
415,0.00008292,0.00004426,0.00001303,0.00000078
416,0.00008193,0.00004539,0.00001374,0.00000076
417,0.00005499,0.00000677,0.00001126,0.00000059
418,0.00008203,0.00002035,0.00000712,0.00000058
419,0.00011262,0.00001522,0.00000464,0.00000052
420,0.00009092,0.00000528,0.00000438,0.00000064
421,0.00010575,0.00001865,0.00000381,0.00000070
422,0.00013926,0.00001834,0.00000312,0.00000068
423,0.00016613,0.00002028,0.00000581,0.00000068
424,0.00019666,0.00001608,0.00000319,0.00000079
425,0.00019375,0.00000017,0.00000473,0.00000093
426,0.00021841,0.00000057,0.00000585,0.00000124
427,0.00033008,0.00001313,0.00000644,0.00000092
428,0.00059283,0.00001658,0.00000967,0.00000124
429,0.00096710,0.00000224,0.00000918,0.00000117
430,0.00120426,0.00001983,0.00000742,0.00000125
431,0.00143132,0.00001885,0.00001090,0.00000129
432,0.00190776,0.00001859,0.00001649,0.00000121
433,0.00246548,0.00001975,0.00002016,0.00000153
434,0.00314995,0.00000023,0.00001631,0.00000149
435,0.00393858,0.00000139,0.00001673,0.00000148
436,0.00502501,0.00001634,0.00001578,0.00000139
437,0.00693758,0.00001789,0.00001766,0.00000166
438,0.00995331,0.00000616,0.00002209,0.00000211
439,0.01395395,0.00002267,0.00003114,0.00000193
440,0.01816332,0.00001903,0.00003091,0.00000241
441,0.02248784,0.00001956,0.00001848,0.00000211
442,0.02806060,0.00001844,0.00003451,0.00000228
443,0.03582005,0.00000342,0.00003492,0.00000294
444,0.04774668,0.00001448,0.00004332,0.00000406
445,0.06795621,0.00001340,0.00004770,0.00000507
446,0.09842750,0.00000774,0.00004658,0.00001753
447,0.13108997,0.00001880,0.00004547,0.00062612
448,0.16221496,0.00001632,0.00004239,0.00099041
449,0.20486488,0.00001912,0.00005155,0.00038281
450,0.26488470,0.00001915,0.00005834,0.00084800
451,0.33784410,0.00000950,0.00006365,0.00090343
452,0.41558626,0.00000865,0.00005824,0.00098820
453,0.48567541,0.00000927,0.00004581,0.00100027
454,0.54882896,0.00001089,0.00003799,0.00030612
455,0.61466150,0.00001236,0.00003584,0.00003473
456,0.68475833,0.00001349,0.00003689,0.00002650
457,0.75228611,0.00001273,0.00003817,0.00002396
458,0.80736646,0.00001062,0.00003951,0.00002429
459,0.84246227,0.00000958,0.00004017,0.00002735
460,0.85754473,0.00000938,0.00003987,0.00003712
461,0.85841741,0.00000973,0.00003754,0.00005612
462,0.85407547,0.00000998,0.00003651,0.00007768
463,0.85129313,0.00001014,0.00003781,0.00008914
464,0.85144931,0.00001042,0.00003645,0.00009611
465,0.85321674,0.00001060,0.00003408,0.00010759
466,0.85405128,0.00001115,0.00003160,0.00011246
467,0.85387063,0.00001174,0.00003251,0.00011011
468,0.85555834,0.00001254,0.00003509,0.00009290
469,0.86252514,0.00001338,0.00003935,0.00006854
470,0.87558536,0.00001400,0.00004494,0.00005014
471,0.89251130,0.00001431,0.00005115,0.00003890
472,0.90900546,0.00001481,0.00005707,0.00003142
473,0.92154349,0.00001528,0.00006145,0.00002673
474,0.92918777,0.00001646,0.00006038,0.00002266
475,0.93306769,0.00001812,0.00005716,0.00002061
476,0.93515923,0.00001991,0.00005354,0.00002008
477,0.93666027,0.00002232,0.00004978,0.00002029
478,0.93739349,0.00002548,0.00004759,0.00002207
479,0.93661481,0.00002855,0.00004735,0.00002564
480,0.93379608,0.00003235,0.00005985,0.00003063
481,0.92929650,0.00003705,0.00006501,0.00003885
482,0.92442581,0.00004200,0.00005803,0.00004812
483,0.92058032,0.00004766,0.00006474,0.00005996
484,0.91895381,0.00005414,0.00006650,0.00007077
485,0.92090421,0.00006070,0.00006908,0.00007965
486,0.92631122,0.00006821,0.00006585,0.00008609
487,0.93455782,0.00007648,0.00005102,0.00008841
488,0.94463030,0.00008464,0.00003616,0.00008691
489,0.95473194,0.00009410,0.00002648,0.00008090
490,0.96364502,0.00010524,0.00002034,0.00007026
491,0.97043568,0.00011803,0.00001645,0.00005867
492,0.97436437,0.00013402,0.00001363,0.00004706
493,0.97495098,0.00015319,0.00001142,0.00003684
494,0.97200508,0.00017614,0.00000950,0.00002888
495,0.96636029,0.00020243,0.00000755,0.00002252
496,0.95962307,0.00023094,0.00000648,0.00001864
497,0.95371958,0.00026260,0.00000560,0.00001631
498,0.95061152,0.00029673,0.00000476,0.00001512
499,0.95192705,0.00033499,0.00000466,0.00001579
500,0.95818895,0.00038048,0.00000444,0.00001740
501,0.96856416,0.00043594,0.00000389,0.00002076
502,0.98070274,0.00050952,0.00000408,0.00002500
503,0.99142860,0.00061362,0.00000399,0.00002970
504,0.99788650,0.00076395,0.00000392,0.00003324
505,1.00000000,0.00097908,0.00000436,0.00003568
506,0.99910819,0.00126923,0.00000413,0.00003719
507,0.99808156,0.00163382,0.00000397,0.00003637
508,0.99650360,0.00207590,0.00000424,0.00003522
509,0.99314712,0.00261314,0.00000400,0.00003204
510,0.98404465,0.00327921,0.00000389,0.00002806
511,0.96550845,0.00413303,0.00000385,0.00002554
512,0.93867401,0.00526369,0.00000390,0.00002401
513,0.90804427,0.00684627,0.00000379,0.00002509
514,0.87480177,0.00915649,0.00000357,0.00002676
515,0.83387151,0.01267648,0.00000383,0.00003097
516,0.77606904,0.01800685,0.00000386,0.00003703
517,0.69859059,0.02585007,0.00000378,0.00004613
518,0.60871934,0.03667779,0.00000439,0.00006025
519,0.51759429,0.05118064,0.00000377,0.00007876
520,0.43125686,0.07035894,0.00000416,0.00010325
521,0.34977809,0.09617429,0.00000494,0.00012473
522,0.27392459,0.13094754,0.00000455,0.00014349
523,0.20473488,0.17727190,0.00000553,0.00015902
524,0.14738691,0.23641290,0.00000605,0.00017128
525,0.10459452,0.30751157,0.00000613,0.00017677
526,0.07555179,0.38790047,0.00000672,0.00017814
527,0.05654570,0.47436827,0.00000696,0.00017111
528,0.04380857,0.56468213,0.00000744,0.00016498
529,0.03477386,0.65643377,0.00000760,0.00016271
530,0.02793581,0.74674718,0.00000766,0.00016590
531,0.02225302,0.82841738,0.00000770,0.00017244
532,0.01751704,0.89713046,0.00000725,0.00018189
533,0.01359022,0.94858047,0.00000682,0.00018854
534,0.01046026,0.98476388,0.00000716,0.00019224
535,0.00814691,1.00572477,0.00000758,0.00019405
536,0.00649078,1.01799762,0.00000759,0.00019354
537,0.00530930,1.02241761,0.00000722,0.00018898
538,0.00446096,1.02351216,0.00000805,0.00018087
539,0.00383097,1.02270186,0.00000826,0.00017218
540,0.00333164,1.02115905,0.00000816,0.00016359
541,0.00292664,1.01965328,0.00000835,0.00015899
542,0.00257637,1.01731773,0.00000798,0.00015586
543,0.00225949,1.01540955,0.00000798,0.00015606
544,0.00198202,1.01129946,0.00000796,0.00015819
545,0.00172287,1.00955329,0.00000817,0.00016068
546,0.00150439,1.00573235,0.00000856,0.00016530
547,0.00130359,1.00407549,0.00000897,0.00016816
548,0.00113903,1.00164097,0.00000920,0.00017049
549,0.00099076,1.00130077,0.00000935,0.00017164
550,0.00086925,0.99962912,0.00000980,0.00017169
551,0.00076142,1.00130006,0.00001003,0.00017074
552,0.00067853,1.00140898,0.00000998,0.00017054
553,0.00060841,1.00384853,0.00001038,0.00016913
554,0.00055953,1.00599723,0.00001044,0.00016744
555,0.00051880,1.00910590,0.00001035,0.00016766
556,0.00049699,1.01051975,0.00001090,0.00016951
557,0.00047445,1.01099594,0.00001143,0.00017426
558,0.00045863,1.00890543,0.00001155,0.00018167
559,0.00044229,1.00483865,0.00001240,0.00019232
560,0.00042470,0.99901144,0.00001322,0.00020428
561,0.00040647,0.99220799,0.00001374,0.00021790
562,0.00038780,0.98468953,0.00001466,0.00023244
563,0.00035963,0.97823873,0.00001507,0.00024402
564,0.00033330,0.97314859,0.00001561,0.00025416
565,0.00029660,0.97022501,0.00001799,0.00026158
566,0.00027179,0.96868569,0.00001806,0.00026375
567,0.00024451,0.97004107,0.00001990,0.00026297
568,0.00022875,0.97166154,0.00002207,0.00026655
569,0.00021524,0.97626613,0.00002400,0.00026988
570,0.00021255,0.98067188,0.00002768,0.00027504
571,0.00021004,0.98683373,0.00003153,0.00028070
572,0.00021079,0.99219054,0.00003519,0.00028807
573,0.00021138,0.99666299,0.00003855,0.00030046
574,0.00021521,1.00000000,0.00004048,0.00031707
575,0.00021336,0.99912543,0.00004339,0.00033920
576,0.00021459,0.99696320,0.00004685,0.00036610
577,0.00020993,0.99036225,0.00004712,0.00039570
578,0.00020747,0.98384547,0.00004885,0.00043575
579,0.00019888,0.97519907,0.00005031,0.00048703
580,0.00019065,0.96391617,0.00005058,0.00053825
581,0.00018249,0.94573906,0.00005380,0.00057909
582,0.00017164,0.91096960,0.00006109,0.00060314
583,0.00016473,0.85904551,0.00006875,0.00061674
584,0.00015826,0.79290657,0.00008360,0.00061491
585,0.00015437,0.72361833,0.00010367,0.00059039
586,0.00015378,0.65257621,0.00013385,0.00054258
587,0.00015002,0.57623116,0.00017220,0.00047833
588,0.00015089,0.48870213,0.00021349,0.00039787
589,0.00015050,0.39405229,0.00025613,0.00031987
590,0.00015245,0.29840580,0.00029745,0.00025214
591,0.00015136,0.21347365,0.00033957,0.00019590
592,0.00015264,0.14739732,0.00038077,0.00015376
593,0.00015147,0.10143634,0.00042014,0.00012305
594,0.00015009,0.07106678,0.00045664,0.00010304
595,0.00014792,0.05101665,0.00049082,0.00008730
596,0.00014493,0.03753145,0.00052462,0.00007548
597,0.00014083,0.02803887,0.00057202,0.00006686
598,0.00013665,0.02107987,0.00064046,0.00006139
599,0.00013056,0.01582745,0.00073788,0.00005448
600,0.00012700,0.01178705,0.00088389,0.00005006
601,0.00012212,0.00868732,0.00109195,0.00004759
602,0.00011620,0.00634606,0.00138377,0.00004287
603,0.00011384,0.00461992,0.00179072,0.00003904
604,0.00010918,0.00337907,0.00234897,0.00003667
605,0.00010782,0.00250694,0.00310035,0.00003331
606,0.00010377,0.00189987,0.00409611,0.00003138
607,0.00010231,0.00147499,0.00539886,0.00002877
608,0.00010126,0.00117574,0.00764596,0.00002657
609,0.00010021,0.00096470,0.00982485,0.00002417
610,0.00009925,0.00080813,0.01250677,0.00002328
611,0.00009923,0.00069267,0.01576553,0.00002129
612,0.00009906,0.00060187,0.01971871,0.00002036
613,0.00009850,0.00053101,0.02460136,0.00001896
614,0.00009892,0.00046977,0.03076162,0.00001779
615,0.00009742,0.00041864,0.03870973,0.00001738
616,0.00009802,0.00037515,0.04932564,0.00001579
617,0.00009809,0.00033197,0.06405112,0.00001598
618,0.00009662,0.00029595,0.08527458,0.00001498
619,0.00009692,0.00026098,0.11683854,0.00001430
620,0.00009575,0.00022974,0.16336997,0.00001381
621,0.00009546,0.00020299,0.22811553,0.00001310
622,0.00009575,0.00017878,0.30778033,0.00001315
623,0.00009469,0.00015870,0.39105868,0.00001249
624,0.00009485,0.00014470,0.46939880,0.00001236
625,0.00009453,0.00012912,0.54633346,0.00001250
626,0.00009384,0.00012281,0.62987089,0.00001178
627,0.00009463,0.00011148,0.71765372,0.00001194
628,0.00009451,0.00010580,0.80227884,0.00001165
629,0.00009458,0.00010508,0.87400338,0.00001136
630,0.00009520,0.00009942,0.92669327,0.00001177
631,0.00009478,0.00009982,0.95728386,0.00001162
632,0.00009588,0.00009664,0.97246242,0.00001149
633,0.00009579,0.00009667,0.98093913,0.00001162
634,0.00009545,0.00009589,0.98815314,0.00001162
635,0.00009560,0.00009628,0.99512479,0.00001183
636,0.00009549,0.00009600,1.00000000,0.00001163
