Wavelength,Panchromatic,NIR1,Red,Green,Blue,Red Edge,Yellow,Coastal,NIR2
350,3.954E-08,2.747E-08,4.428E-08,8.512E-09,2.547E-08,1.734E-09,3.724E-10,2.853E-08,4.468E-07
351,5.145E-08,2.034E-08,4.117E-08,9.219E-09,2.559E-08,2.593E-09,1.970E-09,2.721E-08,3.891E-07
352,3.176E-08,1.819E-08,4.303E-08,5.395E-09,2.209E-08,2.549E-09,3.526E-09,2.527E-08,3.362E-07
353,3.039E-08,1.483E-08,3.938E-08,3.767E-09,1.973E-08,1.463E-09,1.246E-09,1.951E-08,3.055E-07
354,3.322E-08,1.069E-08,2.078E-08,4.972E-09,1.585E-08,1.604E-09,7.437E-10,1.395E-08,2.544E-07
355,1.996E-08,1.257E-08,1.219E-08,3.965E-09,1.408E-08,1.972E-09,3.617E-10,1.713E-08,2.903E-07
356,2.352E-08,1.412E-08,8.022E-09,2.733E-09,1.321E-08,1.398E-09,2.732E-11,2.373E-08,2.976E-07
357,1.766E-08,9.771E-09,1.580E-08,3.097E-09,1.093E-08,1.513E-09,4.286E-10,1.471E-08,2.419E-07
358,2.277E-08,1.081E-08,1.872E-08,2.380E-09,9.297E-09,6.588E-10,2.457E-10,1.638E-08,1.714E-07
359,1.695E-08,9.194E-09,7.888E-09,1.695E-09,1.204E-08,1.387E-09,1.937E-12,1.445E-08,2.000E-07
360,1.447E-08,7.777E-09,2.204E-09,3.286E-09,9.789E-09,7.710E-10,1.664E-12,1.362E-08,2.029E-07
361,1.575E-08,7.967E-09,4.898E-10,3.437E-09,8.128E-09,1.277E-09,8.398E-10,9.459E-09,1.494E-07
362,1.404E-08,1.032E-08,2.505E-09,1.502E-09,1.029E-08,2.125E-09,3.432E-10,1.073E-08,1.128E-07
363,1.651E-08,9.948E-09,9.299E-09,2.732E-09,1.082E-08,1.348E-09,5.532E-11,1.096E-08,1.368E-07
364,1.288E-08,7.997E-09,1.506E-08,1.886E-09,9.316E-09,8.974E-10,3.273E-11,1.065E-08,1.003E-07
365,1.440E-08,1.057E-08,8.087E-09,2.198E-09,7.716E-09,1.033E-09,1.723E-12,1.243E-08,7.409E-08
366,1.494E-08,1.092E-08,1.705E-09,1.944E-09,1.159E-08,3.588E-10,1.851E-12,1.483E-08,1.316E-07
367,1.944E-08,9.851E-09,1.750E-09,1.937E-09,8.292E-09,4.759E-10,1.944E-12,1.419E-08,2.066E-07
368,1.383E-08,8.800E-09,1.648E-09,4.062E-09,8.588E-09,3.092E-10,2.007E-12,1.244E-08,2.941E-07
369,2.236E-08,8.208E-09,3.405E-09,3.888E-09,8.486E-09,4.737E-10,9.997E-10,1.267E-08,2.772E-07
370,1.719E-08,1.103E-08,1.934E-08,3.802E-09,1.349E-08,2.025E-10,4.251E-10,1.434E-08,2.712E-07
371,2.487E-08,1.421E-08,1.652E-08,1.871E-09,9.480E-09,6.529E-10,2.477E-12,1.553E-08,2.167E-07
372,3.404E-08,3.743E-08,8.017E-09,5.692E-09,1.305E-08,1.389E-09,2.803E-12,2.480E-08,2.077E-07
373,3.154E-08,1.822E-07,2.091E-09,2.919E-09,1.536E-08,2.915E-09,3.191E-12,2.312E-08,2.707E-07
374,4.711E-08,4.742E-07,3.720E-08,6.795E-09,1.729E-08,7.329E-09,2.859E-10,2.320E-08,2.292E-07
375,6.076E-08,6.972E-07,5.136E-08,1.105E-08,2.445E-08,5.055E-09,1.193E-10,2.630E-08,1.797E-07
376,4.208E-08,6.166E-07,1.939E-08,7.555E-09,3.993E-08,4.732E-09,4.668E-12,3.985E-08,1.719E-07
377,6.723E-08,4.540E-07,2.522E-09,9.645E-09,6.850E-08,8.599E-09,5.216E-09,1.060E-07,1.272E-07
378,7.151E-08,2.734E-07,3.441E-08,8.358E-09,8.669E-08,1.047E-08,2.168E-09,2.845E-07,1.701E-07
379,7.484E-08,1.678E-07,4.742E-08,1.248E-08,6.901E-08,6.844E-09,7.097E-12,6.643E-07,2.467E-07
380,8.415E-08,1.167E-07,1.974E-08,8.856E-09,3.935E-08,1.606E-09,8.009E-12,1.624E-06,2.892E-07
381,8.209E-08,9.482E-08,1.607E-08,9.788E-09,3.436E-08,6.871E-09,8.997E-12,3.941E-06,5.303E-07
382,9.800E-08,7.830E-08,9.913E-08,1.320E-08,5.047E-08,7.441E-09,1.000E-11,7.965E-06,5.258E-07
383,1.223E-07,8.742E-08,8.761E-08,1.710E-08,4.618E-08,2.643E-08,1.102E-11,1.400E-05,4.743E-07
384,1.132E-07,9.481E-08,2.749E-08,1.333E-08,4.326E-08,6.599E-08,1.199E-11,2.116E-05,5.130E-07
385,9.651E-08,9.531E-08,1.187E-08,3.120E-08,7.683E-08,6.735E-08,1.295E-11,3.004E-05,7.498E-07
386,1.217E-07,9.701E-08,1.086E-07,1.179E-08,5.814E-08,4.092E-08,6.365E-09,5.481E-05,9.884E-07
